"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"UGA","Uganda","UGA.1_1","Adjumani","UGA.1.1_1","East Moyo",246593.044848084,0.907695728128801,0.0886296453662796,0.00367462650491925,0.947703466926412,0.0508529830485132,0.00144355002507514,2020
"UGA","Uganda","UGA.2_1","Apac","UGA.2.1_1","Kole",294911.967269897,0.898584393508249,0.0719235955812159,0.0294920109105353,0.90012869147218,0.0716335669983709,0.0282377415294496,2020
"UGA","Uganda","UGA.2_1","Apac","UGA.2.2_1","Kwania",231079.595681906,0.799937323770809,0.123736076725233,0.0763265995039583,0.826752754583042,0.108856348992288,0.0643908964246701,2020
"UGA","Uganda","UGA.2_1","Apac","UGA.2.3_1","Maruzi",226524.07243681,0.84654070898514,0.110497298400224,0.0429619926146362,0.834388508748284,0.112496460000416,0.0531150312513,2020
"UGA","Uganda","UGA.2_1","Apac","UGA.2.4_1","Oyam",444149.237621307,0.917159686559018,0.0625360929304601,0.0203042205105216,0.917538320239576,0.0620815357194597,0.0203801440409639,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.1_1","Arua Municipality",0,NA,NA,NA,NA,NA,NA,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.2_1","Ayivu",318914.595581055,0.851006991600494,0.0895431518074707,0.0594498565920354,0.839510866365934,0.0962759471384727,0.0642131864955933,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.3_1","Koboko",250339.993225098,0.84103025560227,0.105802867726139,0.0531668766715908,0.832985361752253,0.101666012570921,0.0653486256768258,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.4_1","Madi-Okollo",158188.828090191,0.896586239094411,0.0740807629309934,0.0293329979745957,0.903819864954815,0.0710422624122727,0.0251378726329118,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.5_1","Maracha",219647.958999634,0.886409368489266,0.061702493448921,0.0518881380618126,0.887413685515014,0.0607135466047441,0.0518727678802421,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.6_1","Terego",260443.280958176,0.929257657787083,0.047252671364283,0.023489670848634,0.930171105502666,0.0450587148490295,0.0247701796483041,2020
"UGA","Uganda","UGA.3_1","Arua","UGA.3.7_1","Vurra",158130.65256691,0.867935197235353,0.0983226878932942,0.0337421148713528,0.864828147891168,0.0957345026683687,0.0394373494404629,2020
"UGA","Uganda","UGA.4_1","Bugiri","UGA.4.1_1","Bukooli",689691.622556686,0.596946262025346,0.203558155422431,0.199495582552223,0.622576879146001,0.183436029693138,0.193987091160861,2020
"UGA","Uganda","UGA.5_1","Bundibugyo","UGA.5.1_1","Bwamba",247622.464874268,0.227092776263122,0.323809237259304,0.449097986477573,0.210329396363877,0.243101299259568,0.546569304376555,2020
"UGA","Uganda","UGA.5_1","Bundibugyo","UGA.5.2_1","Ntoroko",57864.4242904186,0.828217743030792,0.105807376596359,0.065974880372849,0.631436676715526,0.112419039229681,0.256144284054793,2020
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.1_1","Buhweju",129024.067661285,0.039292858663697,0.199345891106702,0.761361250229601,0.069002959453132,0.217484009797054,0.713513030749814,2020
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.2_1","Bunyaruguru",157262.288921192,0.366202652773075,0.210028589387596,0.423768757839328,0.219999355801927,0.120331407290595,0.659669236907478,2020
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.3_1","Igara",270459.640467644,0,0.0812952343415985,0.918704765658401,0,0.0487723135844969,0.951227686415503,2020
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.4_1","Ruhinda",175690.539356232,0,0.126361446465649,0.873638553534351,0,0.128974035599867,0.871025964400133,2020
