"GID_0","NAME_0","GID_1","NAME_1","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"MRT","Mauritania","MRT.1_1","Adrar",60635.6196349934,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.2_1","Assaba",382539.516026214,0.995820320232045,0.00410487367702551,7.48060909290587e-05,0.996940792553243,0.00300305389805429,5.6153548702759e-05,2020
"MRT","Mauritania","MRT.3_1","Brakna",359243.551384851,0.934553090075037,0.00243783750887107,0.0630090724160923,0.932257260352195,0.0429829401657828,0.0247597994820223,2020
"MRT","Mauritania","MRT.4_1","Dakhlet Nouadhibou",100135.215577055,1,0,0,1,0,0,2020
"MRT","Mauritania","MRT.5_1","Gorgol",388132.499828815,0.891410532162744,0.0813290214853234,0.0272604463519325,0.91034131017049,0.0647029487512571,0.0249557410782524,2020
"MRT","Mauritania","MRT.6_1","Guidimaka",329897.463681221,0.908367535888524,0.0596050577510504,0.0320274063604258,0.896416710200445,0.0654359592243598,0.0381473305751955,2020
"MRT","Mauritania","MRT.7_1","Hodh ech Chargui",599314.77078853,0.999145961935189,0.000854038064811506,0,0.998821112512589,0.00117888748741115,0,2020
"MRT","Mauritania","MRT.8_1","Hodh el Gharbi",355392.782380246,0.99395183479855,0.00545179442973434,0.000596370771715854,0.988427005994624,0.0102542146589216,0.00131877934645489,2020
"MRT","Mauritania","MRT.9_1","Inchiri",26192.5431968195,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.10_1","Nouakchott",1352620.10668764,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.11_1","Tagant",83566.7965527475,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.12_1","Tiris Zemmour",61348.2709652716,NA,NA,NA,NA,NA,NA,2020
"MRT","Mauritania","MRT.13_1","Trarza",259835.99602755,0.940998469951043,0.00596848852128647,0.053033041527671,0.964927289140165,0.00799229214981417,0.027080418710021,2020
"MUS","Mauritius","MUS.1_1","Agalega Islands",81.0463547706604,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.2_1","Black River",143253.485125542,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.3_1","Flacq",131406.938966751,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.4_1","Grand Port",99863.8009248674,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.5_1","Moka",148214.302044868,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.6_1","Pamplemousses",152360.508451462,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.7_1","Plaines Wilhems",289660.241914034,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.8_1","Port Louis",23389.6571655273,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.9_1","Rivière du Rempart",96439.4880428314,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.10_1","Rodriguez",35466.7477378845,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.11_1","Saint Brandon",0,NA,NA,NA,NA,NA,NA,2020
"MUS","Mauritius","MUS.12_1","Savanne",53478.2526473999,NA,NA,NA,NA,NA,NA,2020
