"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"GIN","Guinea","GIN.1_1","Boké",1185493.58073589,0.325942111714762,0.319031787641396
"GIN","Guinea","GIN.2_1","Conakry",1669485.484447,0.33474132232368,0.327565225070555
"GIN","Guinea","GIN.3_1","Faranah",1087046.42024875,0.326603930624279,0.32598159235766
"GIN","Guinea","GIN.4_1","Kankan",2508928.29233491,0.324211227119879,0.325962883732698
"GIN","Guinea","GIN.5_1","Kindia",2065845.89699361,0.326393422670662,0.325471642347368
"GIN","Guinea","GIN.6_1","Labé",1077438.57244897,0.323042666129837,0.32382950543618
"GIN","Guinea","GIN.7_1","Mamou",784740.061406136,0.324753091038329,0.324322035484184
"GIN","Guinea","GIN.8_1","Nzérékoré",1689511.59247255,0.322114201960948,0.319425946679721
"GMB","Gambia","GMB.1_1","Banjul",309068.331512451,0.537514090538025,0.255478631584999
"GMB","Gambia","GMB.2_1","Lower River",86718.2615919113,0.537120908498764,0.516989071259713
"GMB","Gambia","GMB.3_1","Maccarthy Island",250864.837192297,0.533102520754639,0.523631608826005
"GMB","Gambia","GMB.4_1","North Bank",226388.616083622,0.537510811053601,0.530356184942296
"GMB","Gambia","GMB.5_1","Upper River",273711.198740005,0.535357630701475,0.528759603238498
"GMB","Gambia","GMB.6_1","Western",1060943.61240292,0.537435932457447,0.406840061310591
