"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"NER","Niger","NER.1_1","Agadez","NER.1.1_1","Arlit",175536.281983268,0.0101939435461188,0.0313748615684257,2020
"NER","Niger","NER.1_1","Agadez","NER.1.2_1","Bilma",18574.8671163898,6.35914296966891e-06,8.24887193626281e-06,2020
"NER","Niger","NER.1_1","Agadez","NER.1.3_1","Tchighozerine",477185.220457226,0.0289289035184861,0.0501837908187575,2020
"NER","Niger","NER.2_1","Diffa","NER.2.1_1","Diffa",309366.267893791,0.0651139950234733,0.0667319137997619,2020
"NER","Niger","NER.2_1","Diffa","NER.2.2_1","Maïné-Soroa",326840.057140946,0.05965163887188,0.0641119422603484,2020
"NER","Niger","NER.2_1","Diffa","NER.2.3_1","N'Guigmi",253148.733499475,0.00518059072382785,0.0358538211431942,2020
"NER","Niger","NER.3_1","Dosso","NER.3.1_1","Boboye",448592.618844032,0.318606872643743,0.312588557951338,2020
"NER","Niger","NER.3_1","Dosso","NER.3.2_1","Dogon-Doutchi",798504.216205597,0.183573863510765,0.204426730322526,2020
"NER","Niger","NER.3_1","Dosso","NER.3.3_1","Dosso",583484.676355362,0.361518176056837,0.343113295968412,2020
"NER","Niger","NER.3_1","Dosso","NER.3.4_1","Gaya",458426.823579788,0.37434389111922,0.375027935659793,2020
"NER","Niger","NER.3_1","Dosso","NER.3.5_1","Loga",263216.007314682,0.222854534407025,0.226094338034673,2020
"NER","Niger","NER.4_1","Maradi","NER.4.1_1","Aguié",553441.993789673,0.0857956035269631,0.0826148502684264,2020
"NER","Niger","NER.4_1","Maradi","NER.4.2_1","Dakoro",962702.30707252,0.0938539635343593,0.0970481321213656,2020
"NER","Niger","NER.4_1","Maradi","NER.4.3_1","Groumdji",887124.054597855,0.120303690692653,0.116451417207437,2020
"NER","Niger","NER.4_1","Maradi","NER.4.4_1","Madarounfa",866311.143468857,0.111300589728423,0.0989033265884119,2020
"NER","Niger","NER.4_1","Maradi","NER.4.5_1","Mayahi",701111.910098076,0.0995597013897156,0.0991428481944574,2020
"NER","Niger","NER.4_1","Maradi","NER.4.6_1","Tessaoua",657630.235661507,0.0803552224775966,0.0792153406646337,2020
"NER","Niger","NER.5_1","Niamey","NER.5.1_1","Niamey",1192047.65099335,0.128865107521415,0.124389953997134,2020
"NER","Niger","NER.6_1","Tahoua","NER.6.1_1","Bkonni",762538.769621849,0.150286782517078,0.144580649159755,2020
"NER","Niger","NER.6_1","Tahoua","NER.6.2_1","Bouza",592992.963054657,0.110624580523547,0.109955469596969,2020
"NER","Niger","NER.6_1","Tahoua","NER.6.3_1","Illéla",546091.5028162,0.126334706505838,0.134210872374539,2020
"NER","Niger","NER.6_1","Tahoua","NER.6.4_1","Keita",550897.604946136,0.0996991629185884,0.101569579085671,2020
"NER","Niger","NER.6_1","Tahoua","NER.6.5_1","Madaoua",824988.356750488,0.117904031700497,0.118193745675165,2020
"NER","Niger","NER.6_1","Tahoua","NER.6.6_1","Tahoua",745415.064242363,0.0908182044387669,0.108477158762156,2020
"NER","Niger","NER.6_1","Tahoua","NER.6.7_1","Tchin-Tabarade",996447.176008843,0.0602773626613942,0.093365707785922,2020
"NER","Niger","NER.7_1","Tillabéry","NER.7.1_1","Filingué",676405.081345558,0.103069831240136,0.130490338498218,2020
"NER","Niger","NER.7_1","Tillabéry","NER.7.2_1","Kollo",604397.971756935,0.18899181743543,0.167294888718106,2020
"NER","Niger","NER.7_1","Tillabéry","NER.7.3_1","Ouallam",493226.153379917,0.0851159522970838,0.0972461744574682,2020
"NER","Niger","NER.7_1","Tillabéry","NER.7.4_1","Say",640372.287046909,0.229266597140343,0.195344258959323,2020
"NER","Niger","NER.7_1","Tillabéry","NER.7.5_1","Téra",960464.47342968,0.163074803590361,0.16306297039185,2020
"NER","Niger","NER.7_1","Tillabéry","NER.7.6_1","Tillabéry",350672.962132454,0.110967797727177,0.114523319429149,2020
"NER","Niger","NER.8_1","Zinder","NER.8.1_1","Gouré",519251.731817804,0.0206381120308321,0.0568256604159715,2020
"NER","Niger","NER.8_1","Zinder","NER.8.2_1","Magaria",1457817.71610832,0.0643193767420523,0.0628841297121631,2020
"NER","Niger","NER.8_1","Zinder","NER.8.3_1","Matameye",572401.052845001,0.0700284022660483,0.0689395874201114,2020
"NER","Niger","NER.8_1","Zinder","NER.8.4_1","Mirriah",2013874.28542948,0.0674706146974497,0.0649490665474128,2020
"NER","Niger","NER.8_1","Zinder","NER.8.5_1","Tanout",696747.167744972,0.0499595952216194,0.0608094666399415,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.1_1","Aba North",0,NA,NA,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.2_1","Aba South",540513.90447998,0.395789970954259,0.356689072642573,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.3_1","Arochukw",244450.516029358,0.509396284818649,0.488436764434068,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.4_1","Bende",264839.975814819,0.509707552882341,0.495813516245658,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.5_1","Ikwuano",192915.052993774,0.587029026313262,0.56349776886292,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.6_1","Isiala Ngwa North",268902.366210938,0.627123517649514,0.628979179604322,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.7_1","Isiala Ngwa South",179685.788452148,0.640684057365764,0.638233000122923,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.8_1","Isuikwua",200619.159461975,0.425560139557895,0.425403872222992,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.9_1","Oboma Ngwa",506401.589630127,0.581294210333573,0.487043137351183,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.10_1","Ohafia Abia",372552.689079285,0.450755606804575,0.433928007885669,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.11_1","Osisioma Ngwa",361332.655609131,0.529595090283288,0.470696026610657,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.12_1","Ugwunagbo",83834.1329956055,0.562470957636833,0.550268523602288,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.13_1","Ukwa East",81231.8097305298,0.551407906413078,0.541730624334156,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.14_1","Ukwa West",160288.529022217,0.462199430912733,0.458717413953815,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.15_1","Umu-Nneochi",263753.778038025,0.297154034403237,0.289736682642244,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.16_1","Umuahia North",287240.525039673,0.497016923295127,0.472035322597073,2020
"NGA","Nigeria","NGA.1_1","Abia","NGA.1.17_1","Umuahia South",234120.299835205,0.540109804698399,0.538449529578786,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.1_1","Demsa",337387.126261115,0.363963787616403,0.269857810333335,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.2_1","Fufore",267696.335760117,0.273885819890777,0.269652180320531,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.3_1","Ganye",224521.671212673,0.27616817642783,0.268772390382325,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.4_1","Girie",196494.82692337,0.26207665240635,0.258721193446165,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.5_1","Gombi",188326.1670084,0.287013886496425,0.267205504812341,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.6_1","Guyuk",253928.445116997,0.277667024370396,0.271483344936565,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.7_1","Hong",241908.646603584,0.219810657086782,0.202616479177731,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.8_1","Jada",234772.058064461,0.338566115976852,0.349025633050639,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.9_1","Lamurde",164176.569992304,0.334955084052953,0.34207369984122,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.10_1","Madagali",205986.184593201,0.0915741714147421,0.091594562282468,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.11_1","Maiha",121995.770563126,0.152412241567736,0.148313354921282,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.12_1","Mayo-Bel",259728.127696991,0.337560417455271,0.330980636399479,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.13_1","Michika",214649.42855072,0.109674383519274,0.112954045547406,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.14_1","Mubi North",221666.756183624,0.121558528273336,0.122757183317448,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.15_1","Mubi South",190744.125976562,0.125951603055,0.120080761293011,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.16_1","Numan",139297.530587912,0.394222501665354,0.371859982127998,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.17_1","Shelleng",202876.025175095,0.329670126373703,0.321864141211565,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.18_1","Song",296439.555649757,0.27838946922737,0.273860830692847,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.19_1","Teungo",75982.1681032181,0.355981237586076,0.322853446790626,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.20_1","Yola North",314499.765441895,0.216733489717756,0.19557460342474,2020
"NGA","Nigeria","NGA.2_1","Adamawa","NGA.2.21_1","Yola South",236382.227937698,0.261595108791402,0.249203353270163,2020
"NGA","Nigeria","NGA.3_1","Akwa Ibom","NGA.3.1_1","Abak",192957.632110596,0.567335724830627,0.563925663816127,2020
"NGA","Nigeria","NGA.3_1","Akwa Ibom","NGA.3.2_1","Eastern Obolo",80528.9967346191,0.416429489850998,0.414843796765831,2020
"NGA","Nigeria","NGA.3_1","Akwa Ibom","NGA.3.3_1","Eket",308353.96862793,0.386684811115265,0.387650092636107,2020
"NGA","Nigeria","NGA.3_1","Akwa Ibom","NGA.3.4_1","Esit Eket",119818.229217529,0.462897375226021,0.463615355028485,2020
