"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","coverage_mean","coverage_pop_weighted","year"
"TCD","Chad","TCD.1_1","Barh el Ghazel","TCD.1.1_1","Barh El Gazel",399272.576618075,0.298359761580448,0.259396982953748,2018
"TCD","Chad","TCD.2_1","Batha","TCD.2.1_1","Batha Est",242960.253953934,0.297804308079538,0.298438734081915,2018
"TCD","Chad","TCD.2_1","Batha","TCD.2.2_1","Batha Oues",269862.994711637,0.298994934063158,0.299541634895284,2018
"TCD","Chad","TCD.2_1","Batha","TCD.2.3_1","Fitri",142795.321987033,0.296611111633843,0.221459399229505,2018
"TCD","Chad","TCD.3_1","Borkou","TCD.3.1_1","Borkou",220886.273394514,0.286273152960671,0.0218200943294904,2018
"TCD","Chad","TCD.4_1","Chari-Baguirmi","TCD.4.1_1","Baguirmi",277077.84377718,0.298523049884372,0.298837025170428,2018
"TCD","Chad","TCD.4_1","Chari-Baguirmi","TCD.4.2_1","Loug Chari",241108.109785378,0.29885996694074,0.29898727332938,2018
"TCD","Chad","TCD.4_1","Chari-Baguirmi","TCD.4.3_1","N'Djamena",302337.728396893,0.301587161188032,0.296281152913531,2018
"TCD","Chad","TCD.5_1","Ennedi Est","TCD.5.1_1","Ennedi Est",242291.050061628,0.283123112382877,0.127803452516866,2018
"TCD","Chad","TCD.6_1","Ennedi Ouest","TCD.6.1_1","Ennedi Ouest",95814.0718555748,0.28693190612187,0.0940245543065819,2018
"TCD","Chad","TCD.7_1","Guéra","TCD.7.1_1","Barh Signaka",237150.248357296,0.29856870222736,0.299164786775623,2018
"TCD","Chad","TCD.7_1","Guéra","TCD.7.2_1","Bitkine",228045.967601538,0.297896158473011,0.29817280456369,2018
"TCD","Chad","TCD.7_1","Guéra","TCD.7.3_1","Guéra",144190.557571292,0.29730873191844,0.297322288630663,2018
"TCD","Chad","TCD.7_1","Guéra","TCD.7.4_1","Mangalmé",129998.971805692,0.298783559410367,0.299000763488389,2018
"TCD","Chad","TCD.8_1","Hadjer-Lamis","TCD.8.1_1","Dababa",296328.940698624,0.298529554500667,0.29859490092893,2018
"TCD","Chad","TCD.8_1","Hadjer-Lamis","TCD.8.2_1","Dagana",239537.477912903,0.29917960004373,0.299256925084857,2018
"TCD","Chad","TCD.8_1","Hadjer-Lamis","TCD.8.3_1","Haraze Al Biar",189890.677465945,0.300415773140757,0.282748091747155,2018
"TCD","Chad","TCD.9_1","Kanem","TCD.9.1_1","Kanem",369016.132730007,0.300348284560562,0.298561174000357,2018
"TCD","Chad","TCD.9_1","Kanem","TCD.9.2_1","Nokou",133904.45681715,0.298708296766029,0.140683373173299,2018
"TCD","Chad","TCD.10_1","Lac","TCD.10.1_1","Mamdi",301959.740422361,0.298376744482985,0.295539856694825,2018
