"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","coverage_mean","coverage_pop_weighted","year"
"TCD","Chad","TCD.1_1","Barh el Ghazel","TCD.1.1_1","Barh El Gazel",381222.583749533,0.301410491118514,0.262215980437658,2017
"TCD","Chad","TCD.2_1","Batha","TCD.2.1_1","Batha Est",235061.586371303,0.300904936131633,0.301417596953269,2017
"TCD","Chad","TCD.2_1","Batha","TCD.2.2_1","Batha Oues",255399.08305043,0.302005746829247,0.302436078232966,2017
"TCD","Chad","TCD.2_1","Batha","TCD.2.3_1","Fitri",143998.486951232,0.299797276807267,0.229603018031454,2017
"TCD","Chad","TCD.3_1","Borkou","TCD.3.1_1","Borkou",202902.27899918,0.290299959867089,0.01929163998765,2017
"TCD","Chad","TCD.4_1","Chari-Baguirmi","TCD.4.1_1","Baguirmi",269075.878430367,0.301571208078742,0.301837665141947,2017
"TCD","Chad","TCD.4_1","Chari-Baguirmi","TCD.4.2_1","Loug Chari",234105.527280629,0.301884677743211,0.301992558370231,2017
"TCD","Chad","TCD.4_1","Chari-Baguirmi","TCD.4.3_1","N'Djamena",294290.262501717,0.304388835441832,0.298904555561768,2017
"TCD","Chad","TCD.5_1","Ennedi Est","TCD.5.1_1","Ennedi Est",221696.219736479,0.287328458260817,0.126367768194882,2017
"TCD","Chad","TCD.6_1","Ennedi Ouest","TCD.6.1_1","Ennedi Ouest",88870.8559030965,0.290823429740595,0.0930562806244016,2017
"TCD","Chad","TCD.7_1","Guéra","TCD.7.1_1","Barh Signaka",228773.130721807,0.301611659933953,0.302119995498157,2017
"TCD","Chad","TCD.7_1","Guéra","TCD.7.2_1","Bitkine",220193.465471268,0.300988315424898,0.301221574500271,2017
"TCD","Chad","TCD.7_1","Guéra","TCD.7.3_1","Guéra",139402.111335516,0.300442208685247,0.300443358221621,2017
"TCD","Chad","TCD.7_1","Guéra","TCD.7.4_1","Mangalmé",125559.543409109,0.301812332356349,0.301997977992039,2017
"TCD","Chad","TCD.8_1","Hadjer-Lamis","TCD.8.1_1","Dababa",287780.241342783,0.301576098862283,0.301632241053615,2017
