"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"UGA","Uganda","UGA.17_1","Kamuli","UGA.17.4_1","Buzaaya",191937.496078491,0.655328434705734,0.655386113267889
"UGA","Uganda","UGA.18_1","Kamwenge","UGA.18.1_1","Kibale",359853.461559296,0.76795946079142,0.766757356001607
"UGA","Uganda","UGA.18_1","Kamwenge","UGA.18.2_1","Kitagwenda",169905.836779237,0.811409415869877,0.807137834265274
"UGA","Uganda","UGA.19_1","Kanungu","UGA.19.1_1","Kinkiizi",268147.899934828,0.757505199313164,0.741827098363519
"UGA","Uganda","UGA.20_1","Kapchorwa","UGA.20.1_1","Kongasis",104249.724479675,0.725541883990878,0.735050773377533
"UGA","Uganda","UGA.20_1","Kapchorwa","UGA.20.2_1","Kween",118386.958004951,0.755496626946984,0.766610214745364
"UGA","Uganda","UGA.20_1","Kapchorwa","UGA.20.3_1","Tingey",115109.593166351,0.780362504370072,0.797165496825117
"UGA","Uganda","UGA.21_1","Kasese","UGA.21.1_1","Bukonjo",330532.165778995,0.701025434583425,0.664949981435217
"UGA","Uganda","UGA.21_1","Kasese","UGA.21.2_1","Busongora",459505.771364182,0.765067529474568,0.771932650774957
"UGA","Uganda","UGA.22_1","Katakwi","UGA.22.1_1","Amuria",218969.891147614,0.673359118402004,0.673094735720209
"UGA","Uganda","UGA.22_1","Katakwi","UGA.22.2_1","Kapelebyong",109354.029706001,0.603120545546214,0.606644696183872
"UGA","Uganda","UGA.22_1","Katakwi","UGA.22.3_1","Usuk",194527.781446218,0.598891863174606,0.628272988122806
"UGA","Uganda","UGA.23_1","Kayunga","UGA.23.1_1","Bbaale",163588.283994496,0.600984224101953,0.639470505739737
"UGA","Uganda","UGA.23_1","Kayunga","UGA.23.2_1","Ntenjeru",221113.867424011,0.653786000880328,0.657094038509488
"UGA","Uganda","UGA.24_1","Kibale","UGA.24.1_1","Bugangaizi",405959.276947021,0.774175648505871,0.777553847018588
"UGA","Uganda","UGA.24_1","Kibale","UGA.24.2_1","Buyaga",473412.262629509,0.785318626598878,0.783035507194663
"UGA","Uganda","UGA.24_1","Kibale","UGA.24.3_1","Buyanja",199984.791225433,0.762435037780691,0.763069120083663
"UGA","Uganda","UGA.25_1","Kiboga","UGA.25.1_1","Kiboga",464278.800963402,0.691894196328663,0.702487467742526
"UGA","Uganda","UGA.26_1","Kisoro","UGA.26.1_1","Kisoro",301720.825071812,0.647154460082183,0.656618960588008
"UGA","Uganda","UGA.27_1","Kitgum","UGA.27.1_1","Chua",220953.857425928,0.604326704537476,0.642349802230037
"UGA","Uganda","UGA.27_1","Kitgum","UGA.27.2_1","Lamwo",147529.405664682,0.708891147636322,0.680633449655431
"UGA","Uganda","UGA.28_1","Kotido","UGA.28.1_1","Dodoth",153855.377370685,0.464172180034692,0.427072494706636
"UGA","Uganda","UGA.28_1","Kotido","UGA.28.2_1","Jie",215072.139733672,0.525123548541365,0.511871198610843
"UGA","Uganda","UGA.28_1","Kotido","UGA.28.3_1","Labwor",147736.86954689,0.607560255111904,0.621491440427626
"UGA","Uganda","UGA.29_1","Kumi","UGA.29.1_1","Bukedea",275784.927557945,0.829760739616319,0.825260698652428
"UGA","Uganda","UGA.29_1","Kumi","UGA.29.2_1","Kumi",314658.637470007,0.775870851750644,0.794978793850195
"UGA","Uganda","UGA.29_1","Kumi","UGA.29.3_1","Ngora",177231.552885056,0.777500755257077,0.778756105699287
"UGA","Uganda","UGA.30_1","Kyenjojo","UGA.30.1_1","Kyaka",438873.699474335,0.745105160685147,0.744391879748737
"UGA","Uganda","UGA.30_1","Kyenjojo","UGA.30.2_1","Mwenge",525997.745347977,0.755553923271321,0.75518270354148
"UGA","Uganda","UGA.31_1","Lake Albert","UGA.31.1_1","Lake Albert",33961.1290334463,0.15101879341849,0.72948181504294
"UGA","Uganda","UGA.32_1","Lake Victoria","UGA.32.1_1","Lake Victoria",285186.260034412,0.148927995638059,0.685631096200935
"UGA","Uganda","UGA.33_1","Lira","UGA.33.1_1","Dokolo",218721.267981529,0.728786771203957,0.727260393512748
"UGA","Uganda","UGA.33_1","Lira","UGA.33.2_1","Erute",377496.370994568,0.665222056706746,0.663684633634243
"UGA","Uganda","UGA.33_1","Lira","UGA.33.3_1","Kyoga",181532.36116457,0.666113400604667,0.739212674029067
"UGA","Uganda","UGA.33_1","Lira","UGA.33.4_1","Lira",92316.5823974609,0.674500405788422,0.674500405788422
"UGA","Uganda","UGA.33_1","Lira","UGA.33.5_1","Moroto",261918.258350372,0.677689100305239,0.677540996231746
"UGA","Uganda","UGA.33_1","Lira","UGA.33.6_1","Otuke",140715.371329308,0.669309830195025,0.669248444267578
"UGA","Uganda","UGA.34_1","Luwero","UGA.34.1_1","Bamunanika",208683.551765442,0.613802303870519,0.623923205632491
"UGA","Uganda","UGA.34_1","Luwero","UGA.34.2_1","Katikamu",324659.200099945,0.593727056099021,0.597378707375592
"UGA","Uganda","UGA.34_1","Luwero","UGA.34.3_1","Nakaseke",225868.147310257,0.628709585551756,0.598929338936279
"UGA","Uganda","UGA.35_1","Masaka","UGA.35.1_1","Bukomansimbi",164617.942934036,0.678918198744456,0.679001037817213
"UGA","Uganda","UGA.35_1","Masaka","UGA.35.2_1","Bukoto",542938.52136144,0.698697774126978,0.696108028611438
"UGA","Uganda","UGA.35_1","Masaka","UGA.35.3_1","Kalungu",189397.286137342,0.66829672952493,0.66898859055147
"UGA","Uganda","UGA.35_1","Masaka","UGA.35.4_1","Masaka",103983.731323242,0.686684936285019,0.685070008314661
"UGA","Uganda","UGA.36_1","Masindi","UGA.36.2_1","Bujenje",106835.169458389,0.767046397482907,0.771336106509344
"UGA","Uganda","UGA.36_1","Masindi","UGA.36.1_1","Bujenje (?)",139429.35967207,0.807613755647953,0.813849730096608
"UGA","Uganda","UGA.36_1","Masindi","UGA.36.3_1","Buruli",227030.171361446,0.729148360871777,0.740895112284031
"UGA","Uganda","UGA.36_1","Masindi","UGA.36.4_1","Kibanda",340532.498112679,0.702380982797537,0.687018429113211
"UGA","Uganda","UGA.37_1","Mayuge","UGA.37.1_1","Bunya",538890.401489258,0.702302473895955,0.702964617616822
"UGA","Uganda","UGA.38_1","Mbale","UGA.38.1_1","Bubulo",394205.940364838,0.755762590811803,0.770456081937993
"UGA","Uganda","UGA.38_1","Mbale","UGA.38.2_1","Bungokho",507493.476257324,0.795937955379486,0.801618245782571
"UGA","Uganda","UGA.38_1","Mbale","UGA.38.3_1","Manjiya",259828.182655334,0.72701147886423,0.785393684855157
"UGA","Uganda","UGA.38_1","Mbale","UGA.38.4_1","Mbale",101983.017944336,0.828208863735199,0.828208863735199
"UGA","Uganda","UGA.39_1","Mbarara","UGA.39.1_1","Bukanga",295328.119026482,0.713932265708973,0.716547402795872
"UGA","Uganda","UGA.39_1","Mbarara","UGA.39.2_1","Ibanda",276885.033172607,0.769850058989091,0.769101539990727
"UGA","Uganda","UGA.39_1","Mbarara","UGA.39.3_1","Isingiro",295120.934868336,0.708502224683762,0.703768616003263
"UGA","Uganda","UGA.39_1","Mbarara","UGA.39.4_1","Kashari",263673.851150513,0.721095502376556,0.721360250585535
"UGA","Uganda","UGA.39_1","Mbarara","UGA.39.5_1","Kazo",207649.182291031,0.7284983422075,0.733440221037926
"UGA","Uganda","UGA.39_1","Mbarara","UGA.39.6_1","Mbarara",102871.049804688,0.703419297933578,0.702642750328687
"UGA","Uganda","UGA.39_1","Mbarara","UGA.39.7_1","Nyabushozi",208576.845086887,0.704516628281823,0.709102123951373
"UGA","Uganda","UGA.39_1","Mbarara","UGA.39.8_1","Rwampara",198053.368587494,0.709071518693651,0.709921739896008
"UGA","Uganda","UGA.40_1","Moroto","UGA.40.1_1","Bokora",175659.222754955,0.447888031473448,0.418252283997691
"UGA","Uganda","UGA.40_1","Moroto","UGA.40.2_1","Matheniko",119514.291037321,0.417523631697181,0.376705268053535
"UGA","Uganda","UGA.40_1","Moroto","UGA.40.3_1","Moroto",0,NA,NA
"UGA","Uganda","UGA.41_1","Moyo","UGA.41.1_1","Obongi",42674.7603473663,0.756719376982712,0.757007183359392
"UGA","Uganda","UGA.41_1","Moyo","UGA.41.2_1","West Moyo",79258.2357370853,0.764532150224198,0.752525849645511
"UGA","Uganda","UGA.42_1","Mpigi","UGA.42.1_1","Butambala",97632.6945037842,0.652404529206893,0.65171314052232
"UGA","Uganda","UGA.42_1","Mpigi","UGA.42.2_1","Gomba",179220.064911366,0.663843867182732,0.654204884567688
"UGA","Uganda","UGA.42_1","Mpigi","UGA.42.3_1","Mawokota",303454.108535171,0.66880867942687,0.667881716126636
"UGA","Uganda","UGA.43_1","Mubende","UGA.43.1_1","Busujju",96396.8857340217,0.634836997674859,0.635324185990893
"UGA","Uganda","UGA.43_1","Mubende","UGA.43.2_1","Buwekula",534019.721429825,0.701016513850745,0.702114978997238
"UGA","Uganda","UGA.43_1","Mubende","UGA.43.3_1","Kassanda",349061.811813712,0.647084802054287,0.646572215601374
"UGA","Uganda","UGA.43_1","Mubende","UGA.43.4_1","Mityana",259742.828773022,0.60925881838312,0.609940710406234
"UGA","Uganda","UGA.44_1","Mukono","UGA.44.1_1","Buikwe",479579.963594198,0.715609837386568,0.712514894108692
"UGA","Uganda","UGA.44_1","Mukono","UGA.44.2_1","Buvuma Islands",62185.3367724419,0.708041357142585,0.70839607617513
"UGA","Uganda","UGA.44_1","Mukono","UGA.44.3_1","Mukono",557781.899281263,0.72241573511286,0.712416404458113
"UGA","Uganda","UGA.44_1","Mukono","UGA.44.4_1","Nakifuma",242419.234222412,0.674963321004595,0.67745648503907
"UGA","Uganda","UGA.45_1","Nakapiripirit","UGA.45.1_1","Chekwii",143154.291233063,0.509636005894704,0.471301218955893
"UGA","Uganda","UGA.45_1","Nakapiripirit","UGA.45.2_1","Pian",79191.7052221298,0.330962656462779,0.326570372731399
"UGA","Uganda","UGA.45_1","Nakapiripirit","UGA.45.3_1","Pokot",127206.231369972,0.506947694718838,0.451802667589097
"UGA","Uganda","UGA.46_1","Nakasongola","UGA.46.1_1","Buruli",220506.430410326,0.637473911227602,0.65415888352424
"UGA","Uganda","UGA.47_1","Nebbi","UGA.47.1_1","Jonam",161546.649037331,0.769671701655096,0.771055520691052
"UGA","Uganda","UGA.47_1","Nebbi","UGA.47.2_1","Okoro",277911.395462036,0.598532140254974,0.593809485561404
