"GID_0","NAME_0","GID_1","NAME_1","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"GIN","Guinea","GIN.1_1","Boké",1185493.58073589,0.449579375659048,0.159642709982504,0.390777914358448,0.40733084078281,0.138368687039658,0.454300472177532,2020
"GIN","Guinea","GIN.2_1","Conakry",1669485.484447,0.308529178616459,0.089243369515744,0.602227451867797,0.353401121889317,0.160692801089083,0.4859060770216,2020
"GIN","Guinea","GIN.3_1","Faranah",1087046.42024875,0.697995439054599,0.181925505508837,0.120079055436565,0.719479790766578,0.170024899348824,0.110495309884598,2020
"GIN","Guinea","GIN.4_1","Kankan",2508928.29233491,0.630409861147631,0.278390433079007,0.0911997057733617,0.597150480367144,0.330901053054824,0.0719484665780322,2020
"GIN","Guinea","GIN.5_1","Kindia",2065845.89699361,0.531776814959839,0.12941307517032,0.338810109869841,0.582783148545063,0.0967711408030544,0.320445710651883,2020
"GIN","Guinea","GIN.6_1","Labé",1077438.57244897,0.788338674973307,0.129493380347019,0.0821679446796743,0.781442557762615,0.116138798342436,0.102418643894949,2020
"GIN","Guinea","GIN.7_1","Mamou",784740.061406136,0.621945978067196,0.147813495759694,0.23024052617311,0.597359546762984,0.171958932228602,0.230681521008414,2020
"GIN","Guinea","GIN.8_1","Nzérékoré",1689511.59247255,0.508873174496202,0.185073622830037,0.306053202673761,0.539117436219581,0.191590557162526,0.269292006617892,2020
"GMB","Gambia","GMB.1_1","Banjul",309068.331512451,0.488616392759925,0.288997878595519,0.222385728644557,0.461651196522391,0.412295638827201,0.126053164650408,2020
"GMB","Gambia","GMB.2_1","Lower River",86718.2615919113,0.83329495134448,0.0677910626869761,0.098913985968544,0.834640694360301,0.0618926033105226,0.103466702329176,2020
"GMB","Gambia","GMB.3_1","Maccarthy Island",250864.837192297,0.771124821227618,0.108366596697884,0.120508582074498,0.750462936425718,0.122846458019735,0.126690605554548,2020
"GMB","Gambia","GMB.4_1","North Bank",226388.616083622,0.775766435187824,0.125646074933673,0.098587489878503,0.75803601510583,0.143242998740516,0.0987209861536542,2020
"GMB","Gambia","GMB.5_1","Upper River",273711.198740005,0.722013320185899,0.143772667442796,0.134214012371305,0.711115084159963,0.150784286837793,0.138100629002244,2020
"GMB","Gambia","GMB.6_1","Western",1060943.61240292,0.67037908395443,0.166284390462986,0.163336525582583,0.522540819741795,0.306492137050722,0.170967043207483,2020
