"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","coverage_mean","coverage_pop_weighted","year"
"DJI","Djibouti","DJI.1_1","Ali Sabieh","DJI.1.1_1","Ali Sabieh",124898.06381464,5.38213217043904e-05,0.000106665648368702,2019
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.1_1","As Eyla",35469.3178528845,0.00115085680811942,0.000716834401026738,2019
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.2_1","Dikhil",50520.0977950096,5.92128410020471e-05,0.000196289854515099,2019
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.3_1","Yoboki",51348.7136197984,0.00248322845686604,0.00221293899940365,2019
"DJI","Djibouti","DJI.3_1","Djibouti","DJI.3.1_1","Djibouti",561514.082421303,0.000589676434447028,0.00351872864544845,2019
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.1_1","Alaili Dadda",15928.5296666622,0.000147998393388017,0.000276690872879425,2019
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.2_1","Obock",44119.5020589828,0.000187417254844637,0.000605068171617723,2019
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.1_1","Balha",30023.9956274033,0.00102378642092321,0.00132460280276062,2019
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.2_1","Dorra",27381.2620308399,0.000355384604251014,0.000595930201831165,2019
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.3_1","Randa",44961.6278362274,1.9851087931202e-05,2.54149347365917e-05,2019
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.4_1","Tadjourah",45323.5240511894,0.000138189568176017,0.000108394928704696,2019
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.1_1","Asmara City",294478.570510864,4.24922416998795e-07,1.94155714160029e-07,2019
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.2_1","Berikh",100428.045524597,6.70092249066556e-07,4.82283444699217e-07,2019
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.3_1","Ghala Nefhi",166122.089935303,5.97168343335172e-07,3.82015680453236e-07,2019
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.4_1","Serejeka",63491.4387969971,4.24897281994583e-06,3.76944097153113e-06,2019
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.1_1","Afabet",203953.499133825,0.000539133803323226,0.000635605708112779,2019
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.2_1","Foro",130540.948991776,0.00334862428480473,0.00293543929867179,2019
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.3_1","Ghelaelo'",73960.6388574839,0.00466805412999104,0.00682281415844296,2019
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.4_1","Ghida`e",173265.338641167,0.0109079691158,0.00946031490301447,2019
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.5_1","Karora",84134.8791630268,0.00501495738238351,0.0080806296910723,2019
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.6_1","Mitswa`e City",77576.0691633224,0.000517644939117461,0.000473935467247101,2019
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.7_1","Nakfa",203120.936327934,0.00542589508782601,0.00539713789941991,2019
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.8_1","Sheib",128537.480640411,0.00762876795898706,0.00682887246854931,2019
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.1_1","Areta'",25505.9916241765,0.00237437668063923,0.00386842667896336,2019
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.2_1","Central So. Red-Sea",22427.8113127053,0.000341143609365428,0.000277946699978921,2019
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.3_1","Dahlak",5498.07018566132,0.0148335898200855,0.0174269088163644,2019
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.4_1","So. Southern Red-Sea",49896.1734921411,7.11087935295198e-06,7.26699821085581e-06,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.1_1","Akordat",22936.134560585,0.00821421700327293,0.00818441465945482,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.2_1","Barentu",34149.8653764725,0.00130029349384131,0.000760735029844817,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.3_1","Dghe",92855.640463829,0.00686914045945741,0.00790393582411441,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.4_1","Forto",58412.7335782051,0.00549140134279326,0.00579907362944748,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.5_1","Gogne",61702.1596508026,0.00165849651423995,0.00159923297836412,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.6_1","Haykota",60361.2936592102,0.00374190760339843,0.00313266705972166,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.7_1","La`Elay Gash",92141.6389894485,0.00183561531503074,0.0018917756828334,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.8_1","Logo Anseba",60451.8148164749,0.0165141213201383,0.0105369541847624,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.9_1","Mansura",56285.1462249756,0.00458701475092735,0.0057319791082845,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.10_1","Mogolo",26418.0890049934,0.00172220263006845,0.00153383273312966,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.11_1","Omhajer",118327.230131626,0.00128955499333391,0.00171328848945564,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.12_1","Shemboko",119740.679619789,0.00158366571997209,0.00264755159001528,2019
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.13_1","Teseneye",72125.7455897331,0.0057611828728673,0.00298203018893252,2019
"ERI","Eritrea","ERI.5_1","Maekel","ERI.5.1_1","Adi Keyih",90556.9449892044,5.08133280783195e-05,3.14353083027705e-05,2019
