"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"SOM","Somalia","SOM.1_1","Awdal",440921.13026166,0.0591952925635647,0.0636367508033359,2020
"SOM","Somalia","SOM.2_1","Bakool",452912.043454647,0.0783857237826568,0.0780350672798356,2020
"SOM","Somalia","SOM.3_1","Banaadir",988472.377876282,0.0331646491374288,0.0241966565486119,2020
"SOM","Somalia","SOM.4_1","Bari",558939.868063986,0.0616822819772402,0.0498059305335554,2020
"SOM","Somalia","SOM.5_1","Bay",915600.16565752,0.0991689991631937,0.0982923019514249,2020
"SOM","Somalia","SOM.6_1","Galguduud",488726.451843739,0.0335147222090009,0.0329505344359147,2020
"SOM","Somalia","SOM.7_1","Gedo",481028.852020383,0.0634369833815539,0.0617517025749433,2020
"SOM","Somalia","SOM.8_1","Hiiraan",483978.720937014,0.0487664143306475,0.0448114653902215,2020
"SOM","Somalia","SOM.9_1","Jubbada Dhexe",354722.941799283,0.0823433898608971,0.0785610771974404,2020
"SOM","Somalia","SOM.10_1","Jubbada Hoose",544950.236697063,0.0649574660952077,0.0520865034951632,2020
"SOM","Somalia","SOM.11_1","Mudug",515643.657429338,0.0430884660665467,0.0389118607338045,2020
"SOM","Somalia","SOM.12_1","Nugaal",183036.043951511,0.0470618127939082,0.0431567874056387,2020
"SOM","Somalia","SOM.13_1","Sanaag",394534.936270952,0.0472356113721617,0.0447841666404113,2020
"SOM","Somalia","SOM.14_1","Shabeellaha Dhexe",770070.144584417,0.0482650375065911,0.0491111840106895,2020
"SOM","Somalia","SOM.15_1","Shabeellaha Hoose",1328252.58147907,0.0778264026950089,0.0596441194698963,2020
"SOM","Somalia","SOM.16_1","Sool",220425.334655523,0.053567356771254,0.0505010236888931,2020
"SOM","Somalia","SOM.17_1","Togdheer",606273.089143753,0.0654190207514393,0.0610867953879582,2020
"SOM","Somalia","SOM.18_1","Woqooyi Galbeed",1028145.28042197,0.0520054122600463,0.0593354606070162,2020
"SSD","South Sudan","SSD.1_1","Central Equatoria",1885856.08013129,0.23487216145885,0.243491211784287,2020
"SSD","South Sudan","SSD.2_1","Eastern Equatoria",6156785.40750989,0.25242847390182,0.324788934136403,2020
"SSD","South Sudan","SSD.3_1","Jungoli",2068028.94744214,0.122037516236434,0.11475357534616,2020
"SSD","South Sudan","SSD.4_1","Lakes",900533.881458558,0.16788624433064,0.141197810966249,2020
"SSD","South Sudan","SSD.5_1","North Bahr-al-Ghazal",861705.036151826,0.129073267894322,0.097192768405641,2020
"SSD","South Sudan","SSD.6_1","Unity",955832.224580072,0.0972081346009488,0.0954907717434797,2020
"SSD","South Sudan","SSD.7_1","Upper Nile",1541284.3920244,0.0921139436657059,0.0949854548546057,2020
"SSD","South Sudan","SSD.8_1","Warap",1042483.36426294,0.130485513671241,0.113927714632949,2020
"SSD","South Sudan","SSD.9_1","West Bahr-al-Ghazal",330922.820822746,0.206517003004818,0.208752910148015,2020
"SSD","South Sudan","SSD.10_1","West Equatoria",951259.967532933,0.360397594880537,0.398172001158376,2020
