"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"BWA","Botswana","BWA.1_1","Central",682436.674943745,0.000402410523707835,0.000409917285022053
"BWA","Botswana","BWA.2_1","Chobe",26796.5966437459,0.00114876086656619,0.00221042111925915
"BWA","Botswana","BWA.3_1","Francistown",67886.322022438,0.000324486183671979,0.000380308067564209
"BWA","Botswana","BWA.4_1","Gaborone",150662.59569931,0,0
"BWA","Botswana","BWA.5_1","Ghanzi",56726.4264952315,7.54226883626305e-05,5.74793316170458e-05
"BWA","Botswana","BWA.6_1","Jwaneng",980.13566493988,0,0
"BWA","Botswana","BWA.7_1","Kgalagadi",57501.6220392978,0,0
"BWA","Botswana","BWA.8_1","Kgatleng",119309.638449669,1.10540992078644e-05,5.62348467604633e-06
"BWA","Botswana","BWA.9_1","Kweneng",394971.843288163,3.98523913363286e-07,1.92978416405871e-07
"BWA","Botswana","BWA.10_1","Lobatse",32185.2454223633,0,0
"BWA","Botswana","BWA.11_1","North-East",124433.035699248,0.000317726671189305,0.000803292552447022
"BWA","Botswana","BWA.12_1","North-West",182169.114724144,0.000818969752379075,0.00193875713365776
"BWA","Botswana","BWA.13_1","Selibe Phikwe",29624.6735782623,0.000877895683515817,0.00119352380467967
"BWA","Botswana","BWA.14_1","South-East",215058.919792101,0,0
"BWA","Botswana","BWA.15_1","Southern",240741.572489332,0,0
"BWA","Botswana","BWA.16_1","Sowa",0,NA,NA
"CAF","Central African Republic","CAF.1_1","Bamingui-Bangoran",59014.5862508565,0.232673164300513,0.188796088546928
"CAF","Central African Republic","CAF.2_1","Bangui",596165.841135025,0.429097789525986,0.294939816367019
"CAF","Central African Republic","CAF.3_1","Basse-Kotto",335079.078368902,0.52082925920303,0.512921759006576
"CAF","Central African Republic","CAF.4_1","Haut-Mbomou",77132.2598760696,0.395947468666069,0.40806758735226
"CAF","Central African Republic","CAF.5_1","Haute-Kotto",123893.27804902,0.304580779582174,0.308569326131087
"CAF","Central African Republic","CAF.6_1","Kémo",161411.398205355,0.469531832508339,0.41213045725887
"CAF","Central African Republic","CAF.7_1","Lobaye",338923.269004703,0.430187483081812,0.433270403489861
"CAF","Central African Republic","CAF.8_1","Mambéré-Kadéï",492316.015446961,0.293409743072673,0.269839724472203
"CAF","Central African Republic","CAF.9_1","Mbomou",218640.675797297,0.414923279165206,0.40298617944417
"CAF","Central African Republic","CAF.10_1","Nana-Grébizi",161311.240777656,0.354895946473884,0.309910586225949
"CAF","Central African Republic","CAF.11_1","Nana-Mambéré",320765.169564605,0.249291759521517,0.205176899619084
"CAF","Central African Republic","CAF.12_1","Ombella-M'Poko",748283.626664937,0.380068349092201,0.409317319704519
"CAF","Central African Republic","CAF.13_1","Ouaka",379872.712767869,0.464763188562689,0.451804265721181
"CAF","Central African Republic","CAF.15_1","Ouham",503265.844790727,0.256246997249126,0.201044267624309
"CAF","Central African Republic","CAF.14_1","Ouham-Pendé",587948.205141902,0.176591554455801,0.145261746052267
"CAF","Central African Republic","CAF.16_1","Sangha-Mbaéré",141958.024292648,0.3324479498187,0.270980805518345
"CAF","Central African Republic","CAF.17_1","Vakaga",71000.7414052002,0.148172762477349,0.135782076359369
