"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"COD","Democratic Republic of the Congo","COD.1_1","Bas-Uélé",1504147.71519624,0.38245706751637,0.389157259512815,2020
"COD","Democratic Republic of the Congo","COD.2_1","Équateur",2403361.6974444,0.385548019137338,0.390080533902369,2020
"COD","Democratic Republic of the Congo","COD.3_1","Haut-Katanga",10650248.6762778,0.3891876709238,0.391217719341392,2020
"COD","Democratic Republic of the Congo","COD.4_1","Haut-Lomami",7966491.07182675,0.391713539819325,0.393262933458638,2020
"COD","Democratic Republic of the Congo","COD.5_1","Haut-Uélé",2112455.91149318,0.388075834966422,0.390927788459652,2020
"COD","Democratic Republic of the Congo","COD.6_1","Ituri",6126072.25625855,0.380962587450853,0.376444477449816,2020
"COD","Democratic Republic of the Congo","COD.9_1","Kasaï",6289523.8754635,0.386807683252904,0.393359719904344,2020
"COD","Democratic Republic of the Congo","COD.7_1","Kasaï-Central",7223428.96672097,0.391215851257986,0.393559422824046,2020
"COD","Democratic Republic of the Congo","COD.8_1","Kasaï-Oriental",5690987.21604147,0.394544162290792,0.396370806599337,2020
"COD","Democratic Republic of the Congo","COD.10_1","Kinshasa",7797514.32673589,0.39252434597448,0.39603506334157,2020
"COD","Democratic Republic of the Congo","COD.11_1","Kongo-Central",3006921.571949,0.390447671202885,0.394166837547437,2020
"COD","Democratic Republic of the Congo","COD.12_1","Kwango",2344263.35754842,0.387096100338555,0.387924533098027,2020
"COD","Democratic Republic of the Congo","COD.13_1","Kwilu",4478208.1040704,0.393482284590394,0.394528266365488,2020
"COD","Democratic Republic of the Congo","COD.14_1","Lomami",4156480.71541649,0.392670919185905,0.39395107615164,2020
"COD","Democratic Republic of the Congo","COD.15_1","Lualaba",4029147.29477727,0.389242625838547,0.390723070839759,2020
"COD","Democratic Republic of the Congo","COD.16_1","Maï-Ndombe",1721819.89914561,0.382846155104,0.38708215784693,2020
"COD","Democratic Republic of the Congo","COD.17_1","Maniema",3073233.61055857,0.386139667837191,0.392064638023062,2020
"COD","Democratic Republic of the Congo","COD.18_1","Mongala",2300029.63829777,0.389529768743432,0.392442271319206,2020
"COD","Democratic Republic of the Congo","COD.19_1","Nord-Kivu",9310629.71500723,0.379839430748146,0.286000238162096,2020
"COD","Democratic Republic of the Congo","COD.20_1","Nord-Ubangi",1560754.81902695,0.387402985314003,0.392426611829979,2020
"COD","Democratic Republic of the Congo","COD.21_1","Sankuru",206320.247060263,0.381038905347606,0.389300954922362,2020
"COD","Democratic Republic of the Congo","COD.22_1","Sud-Kivu",6134380.49285705,0.386695752604258,0.313412202492318,2020
"COD","Democratic Republic of the Congo","COD.23_1","Sud-Ubangi",2992850.62279856,0.39139347055382,0.393173473574046,2020
"COD","Democratic Republic of the Congo","COD.24_1","Tanganyika",5545851.9944212,0.391604246324303,0.392231683323421,2020
"COD","Democratic Republic of the Congo","COD.25_1","Tshopo",3528209.96601249,0.376918731078536,0.391179372305912,2020
"COD","Democratic Republic of the Congo","COD.26_1","Tshuapa",1676531.45425821,0.383729689434319,0.389727967802634,2020
"COG","Republic of Congo","COG.1_1","Bouenza",265286.921427354,0.525643977206232,0.526647196169906,2020
"COG","Republic of Congo","COG.2_1","Brazzaville",649344.429830194,0.494482046365738,0.500661739333083,2020
"COG","Republic of Congo","COG.4_1","Cuvette",176851.77378444,0.512043804822653,0.512488451885017,2020
"COG","Republic of Congo","COG.3_1","Cuvette-Ouest",171690.600812018,0.505514000254099,0.512086875757355,2020
"COG","Republic of Congo","COG.5_1","Kouilou",369621.539762139,0.526662559029023,0.529410791179401,2020
"COG","Republic of Congo","COG.6_1","Lékoumou",161783.265579805,0.525126115973262,0.525133079284181,2020
"COG","Republic of Congo","COG.7_1","Likouala",1129785.12362382,0.516596655264311,0.51524857467209,2020
"COG","Republic of Congo","COG.8_1","Niari",157227.088704586,0.525168798688874,0.524645806491983,2020
"COG","Republic of Congo","COG.9_1","Plateaux",116815.806764167,0.524963758690318,0.522745025250203,2020
"COG","Republic of Congo","COG.10_1","Pointe Noire",101057.836547852,0.534181634585063,0.534182623971082,2020
"COG","Republic of Congo","COG.11_1","Pool",636506.722700639,0.523906412711622,0.523729968896436,2020
"COG","Republic of Congo","COG.12_1","Sangha",109784.948267668,0.506099490963356,0.506561937145734,2020
