"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"SEN","Senegal","SEN.1_1","Dakar","SEN.1.1_1","Dakar",1252244.22167969,0.439426074425379,0.245410628851441,2020
"SEN","Senegal","SEN.1_1","Dakar","SEN.1.2_1","Guédiawaye",0,NA,NA,2020
"SEN","Senegal","SEN.1_1","Dakar","SEN.1.3_1","Pikine",1646984.12963867,0.440992712974548,0.364224649373293,2020
"SEN","Senegal","SEN.1_1","Dakar","SEN.1.4_1","Rufisque",436239.257896423,0.441371486467474,0.420981929162755,2020
"SEN","Senegal","SEN.2_1","Diourbel","SEN.2.1_1","Bambey",350659.406719208,0.439532835156687,0.439571770381543,2020
"SEN","Senegal","SEN.2_1","Diourbel","SEN.2.2_1","Diourbel",337091.696578979,0.439422543160617,0.439479576471431,2020
"SEN","Senegal","SEN.2_1","Diourbel","SEN.2.3_1","Mbacké",1112205.33726311,0.439459433249377,0.439587896894451,2020
"SEN","Senegal","SEN.3_1","Fatick","SEN.3.1_1","Fatick",420547.26794517,0.439565540345247,0.439559585208689,2020
"SEN","Senegal","SEN.3_1","Fatick","SEN.3.2_1","Foundiougne",316472.616744757,0.439031877687999,0.438716609825236,2020
"SEN","Senegal","SEN.3_1","Fatick","SEN.3.3_1","Gossas",132915.392597198,0.439530896358803,0.43954385649194,2020
"SEN","Senegal","SEN.4_1","Kaffrine","SEN.4.1_1","Birkilane",125495.216163635,0.439234454114482,0.43925996743092,2020
"SEN","Senegal","SEN.4_1","Kaffrine","SEN.4.2_1","Kaffrine",253450.739931107,0.439312809954087,0.439358459449398,2020
"SEN","Senegal","SEN.4_1","Kaffrine","SEN.4.3_1","Koungheul",197014.552613258,0.439049520623793,0.439230063169055,2020
"SEN","Senegal","SEN.4_1","Kaffrine","SEN.4.4_1","Malème Hodar",121454.375620365,0.43900299730239,0.439118537900647,2020
"SEN","Senegal","SEN.5_1","Kaolack","SEN.5.1_1","Guinguinéo",117273.028951645,0.439364762178489,0.439370877496841,2020
"SEN","Senegal","SEN.5_1","Kaolack","SEN.5.2_1","Kaolack",617488.043468952,0.43940733211196,0.439552163780191,2020
"SEN","Senegal","SEN.5_1","Kaolack","SEN.5.3_1","Nioro du Rip",413504.123864174,0.43930254398136,0.439326165135817,2020
"SEN","Senegal","SEN.6_1","Kédougou","SEN.6.1_1","Kédougou",95404.3404614925,0.438511124852795,0.438895539789397,2020
"SEN","Senegal","SEN.6_1","Kédougou","SEN.6.2_1","Salémata",24180.4238815308,0.438275276621183,0.438314682492938,2020
"SEN","Senegal","SEN.6_1","Kédougou","SEN.6.3_1","Saraya",65448.9694211483,0.437505401670933,0.417668306617279,2020
"SEN","Senegal","SEN.7_1","Kolda","SEN.7.1_1","Kolda",292132.923832893,0.439104004900836,0.439710993653888,2020
"SEN","Senegal","SEN.7_1","Kolda","SEN.7.2_1","Médina Yoro Foula",165466.108513832,0.440335718156011,0.421298792289646,2020
"SEN","Senegal","SEN.7_1","Kolda","SEN.7.3_1","Vélingara",340534.132217646,0.438871198425106,0.430862413951301,2020
"SEN","Senegal","SEN.8_1","Louga","SEN.8.1_1","Kébémer",320215.210372925,0.440306241049411,0.435547875794652,2020
"SEN","Senegal","SEN.8_1","Louga","SEN.8.2_1","Linguère",295457.266462803,0.438885805544873,0.439125346696144,2020
"SEN","Senegal","SEN.8_1","Louga","SEN.8.3_1","Louga",444853.346868396,0.439370433453618,0.435162265419015,2020
"SEN","Senegal","SEN.9_1","Matam","SEN.9.1_1","Kanel",283358.971355557,0.439019825450092,0.429962423119665,2020
"SEN","Senegal","SEN.9_1","Matam","SEN.9.2_1","Matam",313472.362799168,0.439600142935091,0.426203369638599,2020
"SEN","Senegal","SEN.9_1","Matam","SEN.9.3_1","Ranérou Ferlo",63011.1003713608,0.438202239857042,0.43834107731601,2020
"SEN","Senegal","SEN.10_1","Saint-Louis","SEN.10.1_1","Dagana",299360.954897165,0.439386042141823,0.416515213233411,2020
"SEN","Senegal","SEN.10_1","Saint-Louis","SEN.10.2_1","Podor",424487.89750433,0.438790394850304,0.411195455875908,2020
"SEN","Senegal","SEN.10_1","Saint-Louis","SEN.10.3_1","Saint-Louis",312405.275188446,0.438448044449784,0.431430316409999,2020
"SEN","Senegal","SEN.11_1","Sédhiou","SEN.11.1_1","Bounkiling",179081.291874886,0.440386824987151,0.42131497154772,2020
"SEN","Senegal","SEN.11_1","Sédhiou","SEN.11.2_1","Goudomp",183198.999221206,0.44054370452376,0.440857799502898,2020
"SEN","Senegal","SEN.11_1","Sédhiou","SEN.11.3_1","Sédhiou",188314.039659977,0.440245408711471,0.44080617190916,2020
"SEN","Senegal","SEN.12_1","Tambacounda","SEN.12.1_1","Bakel",170737.431469679,0.435973264871199,0.414175287328296,2020
"SEN","Senegal","SEN.12_1","Tambacounda","SEN.12.2_1","Goudiry",140401.240405798,0.438439747131375,0.438511068489551,2020
"SEN","Senegal","SEN.12_1","Tambacounda","SEN.12.3_1","Koupentoum",158350.745809555,0.439026866746469,0.439158079696708,2020
"SEN","Senegal","SEN.12_1","Tambacounda","SEN.12.4_1","Tambacounda",353629.444709778,0.438716885106113,0.439212872395838,2020
"SEN","Senegal","SEN.13_1","Thiès","SEN.13.1_1","Mbour",705399.946407318,0.440088428311296,0.440510516678199,2020
"SEN","Senegal","SEN.13_1","Thiès","SEN.13.2_1","Thiès",827904.931804657,0.441271825840599,0.441224958585812,2020
"SEN","Senegal","SEN.13_1","Thiès","SEN.13.3_1","Tivaouane",528799.589416504,0.440833498900001,0.426998418939505,2020
"SEN","Senegal","SEN.14_1","Ziguinchor","SEN.14.1_1","Bignona",305233.717226326,0.439638058344523,0.4321621058007,2020
"SEN","Senegal","SEN.14_1","Ziguinchor","SEN.14.2_1","Oussouye",56880.0609279871,0.439465244149053,0.439382509612505,2020
"SEN","Senegal","SEN.14_1","Ziguinchor","SEN.14.3_1","Ziguinchor",292836.446154863,0.440464319395168,0.441203096524324,2020
