"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.1_1","Asmara City",230548.428161621,0.320240870118141,0.319316890455626
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.2_1","Berikh",164925.689731598,0.310686848229832,0.308724866048425
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.3_1","Ghala Nefhi",163704.904457092,0.349258444138936,0.342650399181773
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.4_1","Serejeka",64040.1493530273,0.32052671450835,0.314947384415568
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.1_1","Afabet",199159.015115261,0.437208226760902,0.442218970810238
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.2_1","Foro",129098.25713253,0.461123289756997,0.469986722372642
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.3_1","Ghelaelo'",76419.7954636812,0.447287502565554,0.418670791333165
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.4_1","Ghida`e",173891.205878258,0.497064279658454,0.502926317837063
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.5_1","Karora",86230.9792114496,0.383787524112513,0.360312117072624
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.6_1","Mitswa`e City",78697.1361465454,0.523104411363602,0.48492564252882
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.7_1","Nakfa",205664.213384628,0.373737011533795,0.356797253459262
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.8_1","Sheib",150005.767119408,0.46376484763204,0.474644102246886
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.1_1","Areta'",26179.5209543109,0.404409873321475,0.406720189186382
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.2_1","Central So. Red-Sea",22996.853354156,0.427685033291016,0.414083050257857
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.3_1","Dahlak",6467.68356317282,0.426969616219055,0.384999368754048
