"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"GIN","Guinea","GIN.1_1","Boké","GIN.1.1_1","Boffa",223881.028168917,0.685020623800581,0.655088662287589
"GIN","Guinea","GIN.1_1","Boké","GIN.1.2_1","Boké",502773.05387637,0.605557320551882,0.63106669155139
"GIN","Guinea","GIN.1_1","Boké","GIN.1.3_1","Fria",97926.309689045,0.704516358963855,0.70601692112811
"GIN","Guinea","GIN.1_1","Boké","GIN.1.4_1","Gaoual",214023.318274021,0.47952278257556,0.469693464601052
"GIN","Guinea","GIN.1_1","Boké","GIN.1.5_1","Koundara",146889.870727539,0.414972924846944,0.414926877410743
"GIN","Guinea","GIN.2_1","Conakry","GIN.2.1_1","Conakry",1669485.484447,0.389362867921591,0.365135037383947
"GIN","Guinea","GIN.3_1","Faranah","GIN.3.1_1","Dabola",211699.883011103,0.720986536570958,0.736417140454509
"GIN","Guinea","GIN.3_1","Faranah","GIN.3.2_1","Dinguiraye",220731.78560257,0.724720480615523,0.720703988424567
"GIN","Guinea","GIN.3_1","Faranah","GIN.3.3_1","Faranah",342749.452765465,0.692365449019953,0.691210121628898
"GIN","Guinea","GIN.3_1","Faranah","GIN.3.4_1","Kissidougou",311865.29886961,0.704103362803556,0.711253351072007
"GIN","Guinea","GIN.4_1","Kankan","GIN.4.1_1","Kankan",572431.882958651,0.607271061164308,0.585385593658165
"GIN","Guinea","GIN.4_1","Kankan","GIN.4.2_1","Kérouané",232951.453719735,0.611253287129932,0.613265287176448
"GIN","Guinea","GIN.4_1","Kankan","GIN.4.3_1","Kouroussa",326093.403493881,0.628905339276089,0.617919300077045
"GIN","Guinea","GIN.4_1","Kankan","GIN.4.4_1","Mandiana",413258.506592155,0.570832718061573,0.568943114825981
"GIN","Guinea","GIN.4_1","Kankan","GIN.4.5_1","Siguiri",964193.045570493,0.721667348200495,0.687885132524183
"GIN","Guinea","GIN.5_1","Kindia","GIN.5.1_1","Coyah",782502.469011307,0.494652826587359,0.449563492383327
"GIN","Guinea","GIN.5_1","Kindia","GIN.5.2_1","Dubréka",197762.25984621,0.687629239612751,0.682596895522099
"GIN","Guinea","GIN.5_1","Kindia","GIN.5.3_1","Forécariah",276880.354631245,0.520699099521732,0.484198738474133
"GIN","Guinea","GIN.5_1","Kindia","GIN.5.4_1","Kindia",505397.864558846,0.723261429188075,0.739893835495761
"GIN","Guinea","GIN.5_1","Kindia","GIN.5.5_1","Télimélé",303302.948945999,0.618840192033592,0.607502322347412
"GIN","Guinea","GIN.6_1","Labé","GIN.6.1_1","Koubia",104266.270179868,0.503656879331939,0.489249393358759
"GIN","Guinea","GIN.6_1","Labé","GIN.6.2_1","Labé",349199.079734802,0.492860567690146,0.493468883754382
"GIN","Guinea","GIN.6_1","Labé","GIN.6.3_1","Lélouma",177477.657606125,0.387000449227564,0.377915267495295
"GIN","Guinea","GIN.6_1","Labé","GIN.6.4_1","Mali",318499.029211402,0.485200794588161,0.412304188859046
"GIN","Guinea","GIN.6_1","Labé","GIN.6.5_1","Tougué",127996.535716772,0.514811969696437,0.507981837757145
"GIN","Guinea","GIN.7_1","Mamou","GIN.7.1_1","Dalaba",133124.785276413,0.622774230611735,0.614795751915395
"GIN","Guinea","GIN.7_1","Mamou","GIN.7.2_1","Mamou",356417.854276657,0.707921321509555,0.702701248951113
"GIN","Guinea","GIN.7_1","Mamou","GIN.7.3_1","Pita",295197.421853065,0.538590326835943,0.50020285672087
"GIN","Guinea","GIN.8_1","Nzérékoré","GIN.8.1_1","Beyla",405147.273254633,0.774934898529734,0.787384793933175
"GIN","Guinea","GIN.8_1","Nzérékoré","GIN.8.2_1","Guéckédou",263171.932392597,0.777562614666854,0.768978249452372
"GIN","Guinea","GIN.8_1","Nzérékoré","GIN.8.3_1","Lola",185230.253662586,0.745111411955298,0.713703621151161
"GIN","Guinea","GIN.8_1","Nzérékoré","GIN.8.4_1","Macenta",279967.223896027,0.679459605693817,0.695178157906494
"GIN","Guinea","GIN.8_1","Nzérékoré","GIN.8.5_1","Nzérékoré",448573.832379818,0.588495250101443,0.553871346998423
