"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"SOM","Somalia","SOM.10_1","Jubbada Hoose","SOM.10.1_1","Afmadow",78834.4126576036,0.9966641746562,0.00301870151061835,0.000317123833181642,0.99333540930245,0.00600880855758344,0.000655782139966373,2020
"SOM","Somalia","SOM.10_1","Jubbada Hoose","SOM.10.2_1","Badhaadhe",57221.3143821955,0.980706984138305,0.0116246189994277,0.0076683968622675,0.959723051776424,0.0179367950425371,0.0223401531810387,2020
"SOM","Somalia","SOM.10_1","Jubbada Hoose","SOM.10.3_1","Jamaame",181088.006365299,0.993075116069192,0.0065386268190595,0.000386257111748693,0.994096958442893,0.00573252291381063,0.000170518643296008,2020
"SOM","Somalia","SOM.10_1","Jubbada Hoose","SOM.10.4_1","Kismaayo",227806.503291965,0.997533923435083,0.00214395947645516,0.000322117088462234,0.998103318216895,0.00127571639909455,0.000620965384010076,2020
"SOM","Somalia","SOM.11_1","Mudug","SOM.11.1_1","Gaalkacayo",201846.85562098,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.11_1","Mudug","SOM.11.2_1","Goldogob",64655.3835539818,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.11_1","Mudug","SOM.11.3_1","Hobyo",98907.7884494066,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.11_1","Mudug","SOM.11.4_1","Jariiban",57437.4506870508,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.11_1","Mudug","SOM.11.5_1","Xarardheere",92796.179117918,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.12_1","Nugaal","SOM.12.1_1","Burtinle",51498.5987799168,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.12_1","Nugaal","SOM.12.2_1","Eyl",45951.6134428978,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.12_1","Nugaal","SOM.12.3_1","Garoowe",85585.8317286968,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.13_1","Sanaag","SOM.13.1_1","Badhan",130817.11312604,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.13_1","Sanaag","SOM.13.2_1","Ceel-Afwein",95349.9767576456,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.13_1","Sanaag","SOM.13.3_1","Ceerigaabo",168367.846387267,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.14_1","Shabeellaha Dhexe","SOM.14.1_1","Aadan",91206.7142496109,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.14_1","Shabeellaha Dhexe","SOM.14.2_1","Balcad",215532.700002193,0.999724948594872,0.000275051405127708,0,0.999625053055213,0.000374946944787297,0,2020
"SOM","Somalia","SOM.14_1","Shabeellaha Dhexe","SOM.14.3_1","Cadale",69052.7255265713,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.14_1","Shabeellaha Dhexe","SOM.14.4_1","Jawhar",394278.004806042,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.15_1","Shabeellaha Hoose","SOM.15.1_1","Afgooye",425914.02162838,0.998771205895114,0.00122879410488568,0,0.999388432234989,0.00061156776501141,0,2020
"SOM","Somalia","SOM.15_1","Shabeellaha Hoose","SOM.15.2_1","Baraawe",83964.1252403259,0.994475771053553,0.00552422894644713,0,0.996662913150792,0.00333708684920804,0,2020
"SOM","Somalia","SOM.15_1","Shabeellaha Hoose","SOM.15.3_1","Kuntuwaaray",86793.9855489731,0.983012349598166,0.0169876504018344,0,0.977802205043916,0.0221977949560839,0,2020
"SOM","Somalia","SOM.15_1","Shabeellaha Hoose","SOM.15.4_1","Marka",248017.635578156,0.999441513363093,0.000558486636906696,0,0.999494605303472,0.000505394696527692,0,2020
"SOM","Somalia","SOM.15_1","Shabeellaha Hoose","SOM.15.5_1","Qoryooley",192783.501636982,0.996187667593304,0.0038123324066963,0,0.996090722465543,0.00390927753445688,0,2020
