"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year","type"
"AGO","Angola","AGO.1_1","Bengo",519906.169274211,0.16945954538464,0.194421188297209,2017,"mean"
"AGO","Angola","AGO.2_1","Benguela",1942222.83997905,0.113423229845719,0.125668766973308,2017,"mean"
"AGO","Angola","AGO.3_1","Bié",1203666.24967059,0.0950877118143051,0.0898570711919649,2017,"mean"
"AGO","Angola","AGO.4_1","Cabinda",854098.371486634,0.241194824393565,0.252921847629862,2017,"mean"
"AGO","Angola","AGO.5_1","Cuando Cubango",460459.163258098,0.103243343723786,0.113530432329919,2017,"mean"
"AGO","Angola","AGO.6_1","Cuanza Norte",403289.935321692,0.130741597786281,0.136196951118845,2017,"mean"
"AGO","Angola","AGO.7_1","Cuanza Sul",1825005.69720002,0.105866109618807,0.109479681666375,2017,"mean"
"AGO","Angola","AGO.8_1","Cunene",1096821.39093811,0.092968386646116,0.0936962179824268,2017,"mean"
"AGO","Angola","AGO.9_1","Huambo",1781157.99330044,0.0729556936278214,0.0748485773712194,2017,"mean"
"AGO","Angola","AGO.10_1","Huíla",2746238.76956499,0.0739250331198221,0.0710910422257037,2017,"mean"
"AGO","Angola","AGO.11_1","Luanda",9401032.49787521,0.19077471188373,0.195216537875077,2017,"mean"
"AGO","Angola","AGO.12_1","Lunda Norte",835485.510278538,0.117332172503084,0.128365427492506,2017,"mean"
"AGO","Angola","AGO.13_1","Lunda Sul",517835.789776072,0.114737639844659,0.114545630586315,2017,"mean"
"AGO","Angola","AGO.14_1","Malanje",958321.824476598,0.119299705696689,0.127805584356212,2017,"mean"
"AGO","Angola","AGO.15_1","Moxico",924272.190256604,0.132117573688023,0.138906678175066,2017,"mean"
"AGO","Angola","AGO.16_1","Namibe",525413.923970819,0.102415748020769,0.103522710411256,2017,"mean"
"AGO","Angola","AGO.17_1","Uíge",1131313.94911855,0.129644645837874,0.121666484911155,2017,"mean"
"AGO","Angola","AGO.18_1","Zaire",639883.768898617,0.182418417073983,0.192676773368636,2017,"mean"
"BDI","Burundi","BDI.1_1","Bubanza",396084.074890137,0.105566381942481,0.110572723645017,2017,"mean"
"BDI","Burundi","BDI.2_1","Bujumbura Mairie",742494.295188904,0.0935784123837948,0.135229136792786,2017,"mean"
"BDI","Burundi","BDI.3_1","Bujumbura Rural",742261.674804568,0.0685468434657849,0.0885459237053135,2017,"mean"
"BDI","Burundi","BDI.4_1","Bururi",776840.657399178,0.109403271577321,0.142173484653663,2017,"mean"
"BDI","Burundi","BDI.5_1","Cankuzo",300377.390735626,0.245829570151511,0.235168313718995,2017,"mean"
"BDI","Burundi","BDI.6_1","Cibitoke",541199.790817261,0.138552378604396,0.148518102577199,2017,"mean"
"BDI","Burundi","BDI.7_1","Gitega",864388.292854309,0.103624889999628,0.103016973420412,2017,"mean"
"BDI","Burundi","BDI.8_1","Karuzi",512247.464309692,0.161251089590437,0.160598535806517,2017,"mean"
"BDI","Burundi","BDI.9_1","Kayanza",761659.89364624,0.0943720916715952,0.0967048498393936,2017,"mean"
"BDI","Burundi","BDI.10_1","Kirundo",779797.420997381,0.350147243030369,0.353544015610756,2017,"mean"
