"GID_0","NAME_0","GID_1","NAME_1","population","coverage_mean","coverage_pop_weighted","year"
"BEN","Benin","BEN.1_1","Alibori",1041051.71975231,0.82340665493679,0.813796659543731,2017
"BEN","Benin","BEN.2_1","Atakora",942929.32161665,0.722761797363108,0.711025774053306,2017
"BEN","Benin","BEN.3_1","Atlantique",1759448.2849946,0.91773182359235,0.936033863077218,2017
"BEN","Benin","BEN.4_1","Borgou",1456713.66306019,0.776315610395944,0.779304404897582,2017
"BEN","Benin","BEN.5_1","Collines",792668.087213516,0.846003869703426,0.844935624953595,2017
"BEN","Benin","BEN.6_1","Donga",627704.506261826,0.823849857196698,0.809381533979102,2017
"BEN","Benin","BEN.7_1","Kouffo",834364.949256897,0.896736544629802,0.898204948428651,2017
"BEN","Benin","BEN.8_1","Littoral",415093.870605469,0.929192006587982,0.928375815043951,2017
"BEN","Benin","BEN.9_1","Mono",530775.792467117,0.941100429844212,0.933026272243184,2017
"BEN","Benin","BEN.10_1","Ouémé",1150683.44564819,0.901992704908727,0.877041393771493,2017
"BEN","Benin","BEN.11_1","Plateau",705397.740848064,0.837733621292926,0.79835441461755,2017
"BEN","Benin","BEN.12_1","Zou",971484.952989578,0.896996392389384,0.903142254779052,2017
"BFA","Burkina Faso","BFA.1_1","Boucle du Mouhoun",1798824.49954367,0.710790502051621,0.700621321922893,2017
"BFA","Burkina Faso","BFA.2_1","Cascades",951357.148365974,0.644490812544655,0.65834425387656,2017
"BFA","Burkina Faso","BFA.7_1","Centre",3452397.21698189,0.572555469458594,0.585234336635587,2017
"BFA","Burkina Faso","BFA.3_1","Centre-Est",1543556.4513686,0.439688518428045,0.435997923022545,2017
"BFA","Burkina Faso","BFA.4_1","Centre-Nord",1608235.11235452,0.536330094496073,0.539362560988977,2017
"BFA","Burkina Faso","BFA.5_1","Centre-Ouest",1581193.43974686,0.636982202014593,0.632997388078391,2017
"BFA","Burkina Faso","BFA.6_1","Centre-Sud",820368.695715308,0.544000375336104,0.540618573698864,2017
"BFA","Burkina Faso","BFA.8_1","Est",1811341.79770729,0.457822739071591,0.463412840464126,2017
"BFA","Burkina Faso","BFA.9_1","Haut-Bassins",2213604.90553474,0.615894417186094,0.612450665604926,2017
"BFA","Burkina Faso","BFA.10_1","Nord",1484359.14992762,0.675891036136894,0.673333496898834,2017
"BFA","Burkina Faso","BFA.11_1","Plateau-Central",891570.881884813,0.506538023911237,0.507399078077358,2017
"BFA","Burkina Faso","BFA.12_1","Sahel",1347112.01629972,0.49916978299029,0.495816168643154,2017
"BFA","Burkina Faso","BFA.13_1","Sud-Ouest",833236.245756149,0.443197601970625,0.45075363690162,2017
