"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"KEN","Kenya","KEN.1_1","Baringo","KEN.1.1_1","805",30536.8087406158,0.422844860288832,0.42619110985408
"KEN","Kenya","KEN.1_1","Baringo","KEN.1.2_1","Baringo Central",120243.154708862,0.477894656617066,0.454584868402529
"KEN","Kenya","KEN.1_1","Baringo","KEN.1.3_1","Baringo North",134164.613136292,0.500781394149128,0.471477988231962
"KEN","Kenya","KEN.1_1","Baringo","KEN.1.4_1","Baringo South",115130.753722161,0.502722936537531,0.496424908853587
"KEN","Kenya","KEN.1_1","Baringo","KEN.1.5_1","Eldama Ravine",143590.977334023,0.343204567120189,0.349069853317275
"KEN","Kenya","KEN.1_1","Baringo","KEN.1.6_1","Mogotio",66090.3796760961,0.454679236919792,0.440532300864681
"KEN","Kenya","KEN.1_1","Baringo","KEN.1.7_1","Tiaty",194644.629686832,0.480948194225817,0.477038405715017
"KEN","Kenya","KEN.2_1","Bomet","KEN.2.1_1","Bomet Central",173129.43300724,0.352026579280694,0.352933515965054
"KEN","Kenya","KEN.2_1","Bomet","KEN.2.2_1","Bomet East",183935.799610138,0.332040103276571,0.331919284245907
"KEN","Kenya","KEN.2_1","Bomet","KEN.2.3_1","Chepalungu",244200.495616913,0.3508247423172,0.350971895359731
"KEN","Kenya","KEN.2_1","Bomet","KEN.2.4_1","Konoin",237407.677998111,0.336529276872936,0.367777765608702
"KEN","Kenya","KEN.2_1","Bomet","KEN.2.5_1","Sotik",291427.024032593,0.378811064958572,0.380446526387751
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.1_1","Bumula",272019.372344971,0.605032188050887,0.604940769170815
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.2_1","Kabuchai",213024.003540039,0.620012546579043,0.619502853682239
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.3_1","Kanduyi",231384.540603638,0.604778299729029,0.605059911427368
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.4_1","Kimilili",168703.510223389,0.652672663331032,0.652566619905215
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.5_1","Likuyani",141143.080535889,0.548785041679036,0.549556597131176
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.6_1","Lugari",132021.466644287,0.595798681179682,0.598181069106972
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.7_1","Mt. Elgon",219378.892066628,0.525875168896857,0.603366636146879
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.8_1","Sirisia",132309.011260986,0.61778536438942,0.616523366101978
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.9_1","Tongaren",266231.860046387,0.619951853626653,0.622086785991688
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.10_1","Webute West",162746.379898071,0.627012111923911,0.629153409096961
"KEN","Kenya","KEN.3_1","Bungoma","KEN.3.11_1","Webuye East",107316.801055908,0.621781378984451,0.621256333739004
"KEN","Kenya","KEN.4_1","Busia","KEN.4.1_1","Budalangi",90286.2591667175,0.463961454538199,0.543635261968308
"KEN","Kenya","KEN.4_1","Busia","KEN.4.2_1","Butula",190589.121856689,0.555846929550171,0.555005249018944
"KEN","Kenya","KEN.4_1","Busia","KEN.4.3_1","Funyula",103937.562028408,0.554486453533173,0.556800114187382
"KEN","Kenya","KEN.4_1","Busia","KEN.4.4_1","Matayos",141418.905334473,0.55626551594053,0.510626647218526
"KEN","Kenya","KEN.4_1","Busia","KEN.4.5_1","Nambale",130966.082550049,0.586965035308491,0.586604384174386
"KEN","Kenya","KEN.4_1","Busia","KEN.4.6_1","Teso North",127815.177734375,0.615695986482832,0.508043860047241
"KEN","Kenya","KEN.4_1","Busia","KEN.4.7_1","Teso South",170880.869125366,0.589063733816147,0.525128275518075
"KEN","Kenya","KEN.5_1","Elgeyo-Marakwet","KEN.5.1_1","Keiyo North",113826.90173912,0.45189991372603,0.415479099240234
"KEN","Kenya","KEN.5_1","Elgeyo-Marakwet","KEN.5.2_1","Keiyo South",157677.345750809,0.412013703730048,0.382631414689503
"KEN","Kenya","KEN.5_1","Elgeyo-Marakwet","KEN.5.3_1","Marakwet East",130505.817725182,0.345178237710244,0.355982548786688
"KEN","Kenya","KEN.5_1","Elgeyo-Marakwet","KEN.5.4_1","Marakwet West",100480.212708473,0.408643522610267,0.400721748044819
"KEN","Kenya","KEN.6_1","Embu","KEN.6.1_1","Manyatta",210025.523460045,0.360415612533689,0.396603602127435
"KEN","Kenya","KEN.6_1","Embu","KEN.6.2_1","Mbeere North",105712.965279579,0.4834257264932,0.472940932975196
"KEN","Kenya","KEN.6_1","Embu","KEN.6.3_1","Mbeere South",163685.037476033,0.444210245022698,0.440704161006909
"KEN","Kenya","KEN.6_1","Embu","KEN.6.4_1","Runyenjes",145742.598352432,0.40202756524086,0.414000373923341
"KEN","Kenya","KEN.7_1","Garissa","KEN.7.1_1","Balambala",138209.387764931,0.586256844352703,0.580397281543823
"KEN","Kenya","KEN.7_1","Garissa","KEN.7.2_1","Daadab",433484.789343655,0.59180859226576,0.60066262533227
"KEN","Kenya","KEN.7_1","Garissa","KEN.7.3_1","Fafi",278589.006516904,0.599850558030331,0.598352847921465
"KEN","Kenya","KEN.7_1","Garissa","KEN.7.4_1","Garissa Township",224240.322272062,0.624342947170652,0.669423910459741
"KEN","Kenya","KEN.7_1","Garissa","KEN.7.5_1","Ijara",181542.911857422,0.595008282038161,0.606247623231784
"KEN","Kenya","KEN.7_1","Garissa","KEN.7.6_1","Lagdera",234765.495030761,0.578482956878397,0.575749199432233
"KEN","Kenya","KEN.8_1","Homa Bay","KEN.8.1_1","Homa Bay Town",118760.281490326,0.423912424307603,0.458430566068757
"KEN","Kenya","KEN.8_1","Homa Bay","KEN.8.2_1","Kabondo Kasipul",131549.319969177,0.462837691108386,0.461483346828884
"KEN","Kenya","KEN.8_1","Homa Bay","KEN.8.3_1","Karachuonyo",167182.668458939,0.354976045233863,0.497622396894867
"KEN","Kenya","KEN.8_1","Homa Bay","KEN.8.4_1","Kasipul",138888.618759155,0.476229856411616,0.474574250756578
"KEN","Kenya","KEN.8_1","Homa Bay","KEN.8.5_1","Mbita",135865.837446451,0.362729299192627,0.452513878375345
"KEN","Kenya","KEN.8_1","Homa Bay","KEN.8.6_1","Ndhiwa",218914.475392342,0.419636103160241,0.421399044372813
"KEN","Kenya","KEN.8_1","Homa Bay","KEN.8.7_1","Rangwe",123834.372987747,0.440128231048584,0.471659061792907
"KEN","Kenya","KEN.8_1","Homa Bay","KEN.8.8_1","Suba",129840.818720341,0.285692376248977,0.412784723252209
"KEN","Kenya","KEN.8_1","Homa Bay","KEN.8.9_1","unknown 6",29288.7285118103,0.412391990423203,0.487964647801738
"KEN","Kenya","KEN.9_1","Isiolo","KEN.9.1_1","Isiolo North",115817.650720488,0.537288016453385,0.509202066311594
"KEN","Kenya","KEN.9_1","Isiolo","KEN.9.2_1","Isiolo South",66719.6724379137,0.572890929592417,0.57298977734832
"KEN","Kenya","KEN.10_1","Kajiado","KEN.10.1_1","Kajiado Central",152073.82016468,0.407573328174726,0.388899011961581
"KEN","Kenya","KEN.10_1","Kajiado","KEN.10.2_1","Kajiado East",197862.959087729,0.407718875578472,0.390394677566771
"KEN","Kenya","KEN.10_1","Kajiado","KEN.10.3_1","Kajiado North",311398.42488575,0.365405001810619,0.372382797328245
"KEN","Kenya","KEN.10_1","Kajiado","KEN.10.4_1","Kajiado South",201456.009758834,0.493900072450439,0.443402066705441
"KEN","Kenya","KEN.10_1","Kajiado","KEN.10.5_1","Kajiado West",160138.112042785,0.477444795291286,0.437067904277784
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.1_1","Butere",157697.653991699,0.561712376773357,0.561380493436426
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.2_1","Ikolomani",151170.219451904,0.547606331961496,0.547083339318885
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.3_1","Khwisero",141836.582489014,0.547008633613586,0.546993193365591
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.4_1","Lugari",87226.1998596191,0.609549188613892,0.611108744326342
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.5_1","Lurambi",217479.902310967,0.561617121100426,0.561206998264611
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.6_1","Malava",284554.332992554,0.577983373687381,0.577592344592635
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.7_1","Matungu",179138.177017212,0.591017862161001,0.590578387906053
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.8_1","Mumias East",170533.983001709,0.580756584803263,0.580767376075595
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.9_1","Mumias West",130343.850463867,0.578598899500711,0.580267693828823
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.10_1","Navakholo",195056.750915527,0.583021943385784,0.582562717791287
"KEN","Kenya","KEN.11_1","Kakamega","KEN.11.11_1","Shinyalu",210903.553722708,0.543689234389199,0.54844745629415
"KEN","Kenya","KEN.12_1","Kericho","KEN.12.1_1","Ainamoi",222772.60496521,0.395537383281268,0.38858853999959
"KEN","Kenya","KEN.12_1","Kericho","KEN.12.2_1","Belgut",175718.265062377,0.363056082474558,0.399487436383411
"KEN","Kenya","KEN.12_1","Kericho","KEN.12.3_1","Bureti",215359.786697388,0.401484982325481,0.400015459156767
"KEN","Kenya","KEN.12_1","Kericho","KEN.12.4_1","Kipkelion East",184572.594160557,0.335684494461332,0.345030444304564
"KEN","Kenya","KEN.12_1","Kericho","KEN.12.5_1","Kipkelion West",125179.700937271,0.396698860451579,0.398999313511149
"KEN","Kenya","KEN.12_1","Kericho","KEN.12.6_1","Sigowet/Soin",144553.357120514,0.465755611658096,0.44906477286604
"KEN","Kenya","KEN.13_1","Kiambu","KEN.13.1_1","Gatundu North",141111.060911253,0.335069803091196,0.353481134811764
"KEN","Kenya","KEN.13_1","Kiambu","KEN.13.2_1","Gatundu South",118290.921955585,0.331753259897232,0.348652168468092
