"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","coverage_mean","coverage_pop_weighted","year"
"DJI","Djibouti","DJI.1_1","Ali Sabieh","DJI.1.1_1","Ali Sabieh",118133.660947561,0.490357175315778,0.488150928780013,2018
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.1_1","As Eyla",33771.6444441825,0.487437378870298,0.473237827780652,2018
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.2_1","Dikhil",51942.7299377918,0.491653786386762,0.434774178379527,2018
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.3_1","Yoboki",49505.3959232867,0.482666557192043,0.381590829594629,2018
"DJI","Djibouti","DJI.3_1","Djibouti","DJI.3.1_1","Djibouti",548809.969424248,0.494033043272793,0.496456127578338,2018
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.1_1","Alaili Dadda",14787.5524148941,0.491484758683613,0.459460974233467,2018
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.2_1","Obock",41784.4086513519,0.491757629659232,0.470642580680996,2018
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.1_1","Balha",29246.0652276278,0.47724144756794,0.270738048154247,2018
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.2_1","Dorra",25461.3335756063,0.48645449452328,0.329002980795763,2018
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.3_1","Randa",40727.3601183891,0.491229128379088,0.402776894122336,2018
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.4_1","Tadjourah",42613.8891072273,0.49322571605444,0.433167624810852,2018
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.1_1","Asmara City",283043.766151428,0.391944402456284,0.249967491705411,2018
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.2_1","Berikh",101214.069755554,0.390151005983353,0.390724699829624,2018
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.3_1","Ghala Nefhi",167438.316104889,0.390649559705154,0.388862613419619,2018
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.4_1","Serejeka",63759.6490707397,0.392599030182912,0.391993999628236,2018
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.1_1","Afabet",197022.845843315,0.398751155378008,0.37878534379266,2018
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.2_1","Foro",127249.63121891,0.39923199854399,0.397285892592461,2018
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.3_1","Ghelaelo'",70111.2639784813,0.395292221555408,0.35996737666762,2018
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.4_1","Ghida`e",169114.008525848,0.399293637120879,0.39777101606224,2018
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.5_1","Karora",80183.8499487638,0.394200305797552,0.341167631866671,2018
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.6_1","Mitswa`e City",81853.3360748291,0.402156341643561,0.404086456330545,2018
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.7_1","Nakfa",205429.435061932,0.394820422652256,0.394829993555577,2018
"ERI","Eritrea","ERI.2_1","Debub","ERI.2.8_1","Sheib",128094.287570477,0.401596162588366,0.386426187551259,2018
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.1_1","Areta'",23673.0254409313,0.388479341839671,0.365190890295783,2018
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.2_1","Central So. Red-Sea",21749.0637540072,0.392559912469652,0.203940291854922,2018
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.3_1","Dahlak",6001.59029096365,0.396460545063019,0.240956170656524,2018
"ERI","Eritrea","ERI.3_1","Debubawi Keyih Bahri","ERI.3.4_1","So. Southern Red-Sea",44625.624351915,0.34875280658404,0.087818293440723,2018
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.1_1","Akordat",24304.4250125885,0.400907153668611,0.401750057440728,2018
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.2_1","Barentu",35211.0198326111,0.394258201122284,0.394474802438952,2018
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.3_1","Dghe",92311.5937075615,0.396695609887441,0.395912057459049,2018
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.4_1","Forto",56934.3440778255,0.394010874960158,0.380016676099946,2018
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.5_1","Gogne",57973.4505400658,0.395192311191168,0.396105244377135,2018
"ERI","Eritrea","ERI.4_1","Gash Barka","ERI.4.6_1","Haykota",60083.1627936363,0.397392725402659,0.398826442547235,2018
