"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","coverage_mean","coverage_pop_weighted","year"
"DJI","Djibouti","DJI.1_1","Ali Sabieh","DJI.1.1_1","Ali Sabieh",112694.871223688,0.488141069707182,0.48558831103991,2017
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.1_1","As Eyla",34308.0951450318,0.485432579909285,0.469256494105858,2017
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.2_1","Dikhil",47000.2713289261,0.489535903930664,0.431518853489583,2017
"DJI","Djibouti","DJI.2_1","Dikhil","DJI.2.3_1","Yoboki",49209.5280275941,0.480751407564066,0.382867214599879,2017
"DJI","Djibouti","DJI.3_1","Djibouti","DJI.3.1_1","Djibouti",535837.290916443,0.491933505050838,0.494538869467288,2017
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.1_1","Alaili Dadda",14420.0419294834,0.489363224591528,0.457958631957697,2017
"DJI","Djibouti","DJI.4_1","Obock","DJI.4.2_1","Obock",39379.2818856239,0.489638439548297,0.468053323725232,2017
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.1_1","Balha",27167.0261176229,0.475439118146896,0.274042817302893,2017
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.2_1","Dorra",24796.3474142551,0.484457251700488,0.326004571872783,2017
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.3_1","Randa",39623.6302130222,0.489107752304811,0.400122292269462,2017
"DJI","Djibouti","DJI.5_1","Tadjourah","DJI.5.4_1","Tadjourah",39651.3405938148,0.491119411256578,0.425800878823627,2017
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.1_1","Asmara City",284532.302242279,0.378869825601578,0.240922937731417,2017
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.2_1","Berikh",98005.5411109924,0.376735109090805,0.37750782709527,2017
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.3_1","Ghala Nefhi",161916.393032074,0.376515632090361,0.374701496266743,2017
"ERI","Eritrea","ERI.1_1","Anseba","ERI.1.4_1","Serejeka",61897.4413032532,0.379079231849084,0.378560557765853,2017
